ANO,FASE,IDADE,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,IAA,IEG,IPS,IDA,IND_PV,IAN,IPP,NOTA_MATEM,NOTA_PORT,POSSUI_DEFASAGEM,INDE_ATUAL,IPP_IMPUTADO
2022,3,14.0,1,2017,1,0.0,5.2,4.4,5.4,6.917,5.0,7.65625,6.3,5.8,1,5.201,1
2022,3,14.0,1,2021,1,8.8,4.3,7.5,2.8,6.875,5.0,7.65625,2.3,3.5,1,5.669,1
2022,3,13.0,1,2019,1,7.9,6.7,4.4,7.4,5.708,10.0,7.65625,5.3,8.5,0,6.943,1
2022,3,14.0,0,2020,1,9.6,3.8,7.5,4.1,4.833,5.0,7.65625,5.7,1.7,1,5.372,1
2022,3,12.0,1,2022,1,8.3,8.8,7.5,5.0,5.167,10.0,7.65625,4.0,6.0,0,7.101,1
2022,3,16.0,0,2021,1,0.0,4.8,7.5,5.8,5.708,2.5,7.65625,5.3,4.0,1,4.936,1
2022,3,14.0,0,2018,1,7.5,7.1,7.5,6.1,6.417,5.0,7.65625,5.0,7.5,1,6.667,1
2022,3,14.0,0,2019,1,0.0,4.8,5.6,6.0,3.75,5.0,7.65625,5.0,5.2,1,4.499,1
2022,3,14.0,0,2022,1,0.0,5.1,7.5,3.4,4.417,5.0,7.65625,2.7,5.3,1,4.44,1
2022,3,13.0,0,2021,1,9.2,8.8,7.5,7.6,8.458,10.0,7.65625,6.7,7.5,0,8.465,1
2022,3,14.0,0,2022,1,9.6,8.4,7.5,6.2,6.958,5.0,7.65625,4.8,5.8,1,7.268,1
2022,3,13.0,0,2022,1,9.6,8.7,7.5,3.5,6.833,10.0,7.65625,5.0,2.0,0,7.209,1
2022,3,15.0,0,2022,1,0.0,6.1,7.5,4.3,5.125,5.0,7.65625,5.0,3.5,1,4.87,1
2022,3,13.0,1,2021,1,6.7,5.8,7.5,7.8,6.542,10.0,7.65625,5.7,7.7,0,7.172,1
2022,3,13.0,1,2018,1,7.9,8.5,7.5,7.0,5.583,10.0,7.65625,5.3,6.5,0,7.502,1
2022,3,15.0,1,2021,1,7.9,8.5,7.5,7.1,7.292,5.0,7.65625,6.3,7.2,1,7.397,1
